rank,publication_id,doi,pmid,pmcid,title,source_title,anthology_title,publisher,mesh_terms,pubyear,volume,issue,pagination,open_access,publication_type,authors,authors_affiliations,research_organizations_-_standardized,grid_ids,city_of_research_organization,state_of_research_organization,country_of_research_organization,funder,funder_group,funder_country,uids_of_supporting_grants,supporting_grants,times_cited,recent_citations,rcr,fcr,source_linkout,dimensions_url,for_(anzsrc)_categories,for_1,for_2,for_3,for_4,for_5,rcdc_categories,rcdc_1,rcdc_2,rcdc_3,rcdc_4,rcdc_5,hrcs_hc_categories,hrcs_hc_1,hrcs_hc_2,hrcs_hc_3,hrcs_hc_4,hrcs_hc_5,hrcs_rac_categories,hrcs_rac_1,hrcs_rac_2,hrcs_rac_3,hrcs_rac_4,hrcs_rac_5,health_research_areas,broad_research_areas,icrp_cancer_types,icrp_cancer_types_1,icrp_cancer_types_2,icrp_cancer_types_3,icrp_cancer_types_4,icrp_cancer_types_5,icrp_cso_categories,icrp_cso_1,icrp_cso_2,icrp_cso_3,icrp_cso_4,icrp_cso_5,domain,search_note,norm_rank
376,pub.1092160977,10.3390/ijerph14101197,29019906,PMC5664698,Predicting Child Protective Services (CPS) Involvement among Low-Income U.S. Families with Young Children Receiving Nutritional Assistance,International Journal of Environmental Research and Public Health,,MDPI,"Adult; Child; Child Abuse; Child Protective Services; Child, Preschool; Female; Food Assistance; Humans; Income; Infant; Male; Parents; Poverty; Wisconsin",2017,14,10,1197,All OA; Pure Gold,article,"Slack, Kristen S; Font, Sarah; Maguire-Jack, Kathryn; Berger, Lawrence M","Slack, Kristen S (University of Wisconsin–Madison); Font, Sarah (Pennsylvania State University); Maguire-Jack, Kathryn (The Ohio State University); Berger, Lawrence M (University of Wisconsin–Madison)",University of Wisconsin–Madison; The Ohio State University; Pennsylvania State University,grid.14003.36; grid.261331.4; grid.29857.31,Madison; Columbus; State College,Wisconsin; Ohio; Pennsylvania,United States; United States; United States,Doris Duke Charitable Foundation,HRA,United States,,,4,4,0.5,2.33,https://www.mdpi.com/1660-4601/14/10/1197/pdf,https://app.dimensions.ai/details/publication/pub.1092160977,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Child Abuse and Neglect Research; Violence Research; Clinical Trials and Supportive Activities; Clinical Research,Pediatric,Child Abuse and Neglect Research,Violence Research,Clinical Trials and Supportive Activities,Clinical Research,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.66313933
361,pub.1110265715,10.1037/cdp0000240,30489103,,Mental health treatment and work among African American and Caribbean Black welfare recipients.,Cultural Diversity & Ethnic Minority Psychology,,American Psychological Association (APA),,2018,,,,Closed,article,"Hastings, Julia F; Snowden, Lonnie R","Hastings, Julia F (); Snowden, Lonnie R (University of California, Berkeley)","University of California, Berkeley",grid.47840.3f,Berkeley,California,United States,National Institute On Minority Health and Health Disparities,NIH,United States,grant.2417679,K22MD003934,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1110265715,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Mental Health; Depression; Behavioral and Social Science,Mental Health,Depression,Behavioral and Social Science,,,Mental Health,Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.636684303
355,pub.1112162996,10.1016/j.chiabu.2019.02.004,30776738,PMC6422336,County-level socioeconomic and crime risk factors for substantiated child abuse and neglect,Child Abuse & Neglect,,Elsevier,,2019,90,Social Work Research 34 2010,127-138,Closed,article,"Morris, Matthew C.; Marco, Miriam; Maguire-Jack, Kathryn; Kouros, Chrystyna D.; Im, Wansoo; White, Codi; Bailey, Brooklynn; Rao, Uma; Garber, Judy","Morris, Matthew C. (Meharry Medical College; Vanderbilt University); Marco, Miriam (University of Valencia); Maguire-Jack, Kathryn (The Ohio State University); Kouros, Chrystyna D. (); Im, Wansoo (Meharry Medical College); White, Codi (Griffith University); Bailey, Brooklynn (Meharry Medical College); Rao, Uma (University of California, Irvine); Garber, Judy (Vanderbilt University)","University of California, Irvine; University of Valencia; Vanderbilt University; Griffith University; Meharry Medical College; The Ohio State University",grid.266093.8; grid.5338.d; grid.152326.1; grid.1022.1; grid.259870.1; grid.261331.4,Irvine; Valencia; Nashville; Brisbane; Nashville; Columbus,California; ; Tennessee; Queensland; Tennessee; Ohio,United States; Spain; United States; Australia; United States; United States,National Institute On Minority Health and Health Disparities; Health Resources and Services Administration; National Institute of Mental Health,NIH,United States; United States; United States,grant.7072733; grant.2405271; grant.2685268,T32MH018921; K01MH101403; U54MD007586,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112162996,1117 Public Health and Health Services; 1701 Psychology,1117 Public Health and Health Services,1701 Psychology,,,,Behavioral and Social Science; Child Abuse and Neglect Research; Substance Abuse; Violence Research; Pediatric Research Initiative; Drug Abuse (NIDA Only); Pediatric,Behavioral and Social Science,Child Abuse and Neglect Research,Substance Abuse,Violence Research,Pediatric Research Initiative,,,,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.626102293
355,pub.1019392201,10.1542/peds.2013-2823,24590744,,Supplemental Nutrition Assistance Program Participation and Child Food Security,Pediatrics,,American Academy of Pediatrics (AAP),Child; Cross-Sectional Studies; Dietary Supplements; Female; Food Assistance; Food Supply; Government Programs; Humans; Male; United States,2014,133,4,610-619,All OA; Bronze,article,"Mabli, James; Worthington, Julie","Mabli, James (Mathematica Policy Research); Worthington, Julie (Mathematica Policy Research)",Mathematica Policy Research,grid.419482.2,Princeton,New Jersey,United States,,,,,,19,13,1.26,3.57,http://pediatrics.aappublications.org/content/133/4/610.full.pdf,https://app.dimensions.ai/details/publication/pub.1019392201,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Nutrition,Pediatric,Nutrition,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.626102293
350,pub.1091157866,10.1044/2017_lshss-16-0072,28800371,,"Population Estimates, Health Care Characteristics, and Material Hardship Experiences of U.S. Children With Parent-Reported Speech-Language Difficulties: Evidence From Three Nationally Representative Surveys",Language Speech and Hearing Services in Schools,,American Speech Language Hearing Association,"Adolescent; Child; Child, Preschool; Cross-Sectional Studies; Female; Health Services Accessibility; Health Surveys; Humans; Male; Poverty; Prevalence; Speech Disorders; United States",2017,48,4,286-293,Closed,article,"Sonik, Rajan A.; Parish, Susan L.; Akobirshoev, Ilhom; Son, Esther; Rosenthal, Eliana","Sonik, Rajan A. (Brandeis University); Parish, Susan L. (Brandeis University); Akobirshoev, Ilhom (Brandeis University); Son, Esther (); Rosenthal, Eliana (Brandeis University)",Brandeis University,grid.253264.4,Waltham,Massachusetts,United States,,,,,,1,1,0,0.58,,https://app.dimensions.ai/details/publication/pub.1091157866,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research; Behavioral and Social Science; Pediatric,Clinical Research,Behavioral and Social Science,Pediatric,,,,,,,,,8.1 Organisation and delivery of services,8.1 Organisation and delivery of services,,,,,Population & Society,Health Services Research,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.617283951
349,pub.1036604957,10.1016/j.amepre.2016.08.023,28109418,,Rebates to Incentivize Healthy Nutrition Choices in the Supplemental Nutrition Assistance Program,American Journal of Preventive Medicine,,Elsevier,Choice Behavior; Commerce; Diet; Feeding Behavior; Food Assistance; Food Supply; Humans; Motivation; Poverty; Randomized Controlled Trials as Topic; United States,2017,52,2,s161-s170,All OA; Hybrid,article,"Olsho, Lauren E.W.; Klerman, Jacob A.; Bartlett, Susan H.; Logan, Christopher W.","Olsho, Lauren E.W. (Abt Associates (United States)); Klerman, Jacob A. (Abt Associates (United States)); Bartlett, Susan H. (Abt Associates (United States)); Logan, Christopher W. (Abt Associates (United States))",Abt Associates (United States),grid.417585.a,Cambridge,Massachusetts,United States,Abt Associates (United States); United States Department of Agriculture,USDA,United States; United States,,,3,3,1.42,1.64,https://doi.org/10.1016/j.amepre.2016.08.023,https://app.dimensions.ai/details/publication/pub.1036604957,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition,Nutrition,,,,,,,,,,,3.1 Primary prevention interventions to modify behaviours or promote well-being,3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.615520282
334,pub.1091897027,10.1016/j.socscimed.2017.09.020,28965002,PMC5815398,Re-evaluating associations between the Supplemental Nutrition Assistance Program participation and body mass index in the context of unmeasured confounders,Social Science & Medicine,,Elsevier,"Adolescent; Adult; Body Mass Index; Body Weight; Continental Population Groups; Cross-Sectional Studies; Educational Status; Female; Food Assistance; Food Supply; Humans; Income; Logistic Models; Male; Marital Status; Middle Aged; Self Report; Social Class; Stress, Psychological; Surveys and Questionnaires",2017,192,,112-124,Closed,article,"Rigdon, Joseph; Berkowitz, Seth A.; Seligman, Hilary K.; Basu, Sanjay","Rigdon, Joseph (Stanford University); Berkowitz, Seth A. (Massachusetts General Hospital); Seligman, Hilary K. (University of California, San Francisco); Basu, Sanjay (Stanford University)","University of California, San Francisco; Stanford University; Massachusetts General Hospital",grid.266102.1; grid.168010.e; grid.32224.35,San Francisco; Stanford; Boston,California; California; Massachusetts,United States; United States; United States,National Institute of Diabetes and Digestive and Kidney Diseases; National Institute On Minority Health and Health Disparities,NIH,United States; United States,grant.5503476; grant.4728565; grant.4241681; grant.2439065,K23DK109200; DP2MD010478; P30DK092924; P30DK098722,5,5,0.76,2.91,,https://app.dimensions.ai/details/publication/pub.1091897027,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Obesity,Nutrition,Obesity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.589065256
328,pub.1107982362,10.1016/j.socscimed.2018.11.001,30453112,,SNAP benefits and childhood asthma,Social Science & Medicine,,Elsevier,,2019,220,Popul. Res. Pol. Rev. 2018,203-211,Closed,article,"Heflin, Colleen; Arteaga, Irma; Hodges, Leslie; Ndashiyme, Felix; Rabbitt, Matthew P.","Heflin, Colleen (Syracuse University); Arteaga, Irma (University of Missouri); Hodges, Leslie (University of Wisconsin–Green Bay); Ndashiyme, Felix (University of Missouri); Rabbitt, Matthew P. (Economic Research Service)",University of Wisconsin–Green Bay; Syracuse University; University of Missouri; Economic Research Service,grid.267461.0; grid.264484.8; grid.134936.a; grid.482913.5,Green Bay; Syracuse; Columbia; Washington D.C.,Wisconsin; New York; Missouri; District of Columbia,United States; United States; United States; United States,United States Department of Agriculture,USDA,United States,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1107982362,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Lung; Asthma; Health Services; Pediatric; Clinical Research,Lung,Asthma,Health Services,Pediatric,Clinical Research,Respiratory,Respiratory,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.578483245
324,pub.1110064066,10.1097/mlr.0000000000001024,30461582,,Identification of Cross-sector Service Utilization Patterns Among Urban Medicaid Expansion Enrollees,Medical Care,,Wolters Kluwer,,2018,57,2,123-130,Closed,article,"Bodurtha, Peter J.; Winkelman, Tyler; Vickery, Katherine D.; Owen, Ross; Van Siclen, Renee; Erickson, Erik; Hougham, Courtney; Legler, Mark; Jennings, Latasha; Shippee, Nathan","Bodurtha, Peter J. (Hennepin County); Winkelman, Tyler (); Vickery, Katherine D. (); Owen, Ross (Hennepin County); Van Siclen, Renee (Hennepin County); Erickson, Erik (Hennepin County); Hougham, Courtney (Hennepin County); Legler, Mark (Hennepin County); Jennings, Latasha (Hennepin County); Shippee, Nathan (University of Minnesota)",Hennepin County; University of Minnesota,grid.490715.e; grid.17635.36,Minneapolis; Minneapolis,Minnesota; Minnesota,United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1110064066,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Clinical Research; Behavioral and Social Science,Health Services,Clinical Research,Behavioral and Social Science,,,Generic Health Relevance,Generic Health Relevance,,,,,,,,,,,Health services & systems,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.571428571
323,pub.1113045342,10.1016/j.ssmph.2019.100393,31016223,PMC6468142,Food and financial coping strategies during the monthly Supplemental Nutrition Assistance Program cycle,SSM - Population Health,,Elsevier,,2019,7,The Review of Economics and Statistics 89 3 2007,100393,Closed,article,"Kinsey, Eliza Whiteman; Oberle, Megan; Dupuis, Roxanne; Cannuscio, Carolyn C.; Hillier, Amy","Kinsey, Eliza Whiteman (Columbia University); Oberle, Megan (University of Minnesota; University of Pennsylvania); Dupuis, Roxanne (Harvard University); Cannuscio, Carolyn C. (University of Pennsylvania); Hillier, Amy (University of Pennsylvania)",Harvard University; University of Minnesota; Columbia University; University of Pennsylvania,grid.38142.3c; grid.17635.36; grid.21729.3f; grid.25879.31,Cambridge; Minneapolis; New York; Philadelphia,Massachusetts; Minnesota; New York; Pennsylvania,United States; United States; United States; United States,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1113045342,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Nutrition; Behavioral and Social Science; Clinical Research; Mental Health,Nutrition,Behavioral and Social Science,Clinical Research,Mental Health,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.569664903
321,pub.1084084890,10.1016/j.jand.2017.01.008,28259745,,Low-Income Urban Mothers’ Experiences with the Supplemental Nutrition Assistance Program,Journal of the Academy of Nutrition and Dietetics,,Elsevier,Adult; Baltimore; Female; Food Assistance; Food Supply; Health Services Accessibility; Humans; Mothers; Poverty; Program Evaluation; Qualitative Research; Systems Integration; Urban Population,2017,117,10,1538-1553,Closed,article,"Robbins, Sarah; Ettinger, Anna K.; Keefe, Carolyn; Riley, Anne; Surkan, Pamela J.","Robbins, Sarah (); Ettinger, Anna K. (); Keefe, Carolyn (); Riley, Anne (); Surkan, Pamela J. ()",,,,,,,,,,,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1084084890,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Clinical Research,Clinical Research,,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.566137566
319,pub.1000498752,10.3945/an.112.003244,23319121,PMC3648737,Food Insecurity Is an Ongoing National Concern,Advances in Nutrition,,Oxford University Press (OUP),Family Characteristics; Food Assistance; Food Supply; Humans; Poverty; Public Health; Risk Factors; United States,2013,4,1,36-41,All OA; Bronze,article,"Gundersen, Craig","Gundersen, Craig (University of Illinois at Urbana Champaign)",University of Illinois at Urbana Champaign,grid.35403.31,Urbana,Illinois,United States,National Institute of Food and Agriculture,USDA,United States,,,45,23,2.43,17.36,https://academic.oup.com/advances/article-pdf/4/1/36/23735823/36.pdf,https://app.dimensions.ai/details/publication/pub.1000498752,1402 Applied Economics,1402 Applied Economics,,,,,Nutrition,Nutrition,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.562610229
317,pub.1044785211,10.1080/19320248.2014.962780,26413180,PMC4580337,The Relationship Between Obesity and Participation in the Supplemental Nutrition Assistance Program (SNAP): Is Mental Health a Mediator?,Journal of Hunger & Environmental Nutrition,,Taylor & Francis,,2014,9,4,512-522,"All OA; Green, Accepted",article,"Chaparro, M Pia; Harrison, Gail G; Pebley, Anne R; Wang, May","Chaparro, M Pia (University of California Los Angeles); Harrison, Gail G (University of California Los Angeles); Pebley, Anne R (); Wang, May (University of California Los Angeles)",University of California Los Angeles,grid.19006.3e,Los Angeles,California,United States,National Institute of Child Health and Human Development,NIH,United States,grant.2621390,R24HD041022,2,2,0.25,0.38,http://europepmc.org/articles/pmc4580337?pdf=render,https://app.dimensions.ai/details/publication/pub.1044785211,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Behavioral and Social Science; Nutrition; Prevention; Obesity,Behavioral and Social Science,Nutrition,Prevention,Obesity,,Oral and Gastrointestinal; Stroke,Oral and Gastrointestinal,Stroke,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.559082892
316,pub.1112852842,10.1002/nur.21943,30888077,PMC6472896,Predictors of psychological distress in low‐income mothers over the first postpartum year,Research in Nursing & Health,,Wiley,,2019,42,3,205-216,Closed,article,"Adynski, Harry; Zimmer, Catherine; Thorp, John; Santos, Hudson P","Adynski, Harry (University of North Carolina at Chapel Hill); Zimmer, Catherine (University of North Carolina at Chapel Hill); Thorp, John (University of North Carolina at Chapel Hill); Santos, Hudson P (University of North Carolina at Chapel Hill)",University of North Carolina at Chapel Hill,grid.10698.36,Chapel Hill,North Carolina,United States,National Institute of Nursing Research; National Institute of Child Health and Human Development,NIH,United States; United States,grant.2691107; grant.2692556; grant.2575255; grant.2691111; grant.2691108; grant.2691106; grant.2691110; grant.2691150,R03HD059584; U01NR008929; U01HD044207; U01HD044219; U01HD044226; U01HD044245; U01HD044253; U01HD054791,0,0,0,0,,https://app.dimensions.ai/details/publication/pub.1112852842,1117 Public Health and Health Services; 1701 Psychology,1117 Public Health and Health Services,1701 Psychology,,,,Mind and Body; Behavioral and Social Science; Mental Health; Clinical Research; Prevention; Depression; Violence Research,Mind and Body,Behavioral and Social Science,Mental Health,Clinical Research,Prevention,Mental Health,Mental Health,,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.557319224
310,pub.1092439275,10.1089/heq.2016.0023,29082357,PMC5657130,Examining Material Hardship in Mothers: Associations of Diaper Need and Food Insufficiency with Maternal Depressive Symptoms,Health Equity,,Mary Ann Liebert,,2017,1,1,127-133,All OA; Bronze,article,"Austin, Anna E; Smith, Megan V","Austin, Anna E (Yale University; University of North Carolina at Chapel Hill); Smith, Megan V (Yale University)",Yale University; University of North Carolina at Chapel Hill,grid.47100.32; grid.10698.36,New Haven; Chapel Hill,Connecticut; North Carolina,United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.2684472,T32HD052468,1,1,0.44,0.58,https://www.liebertpub.com/doi/pdf/10.1089/heq.2016.0023,https://app.dimensions.ai/details/publication/pub.1092439275,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Depression; Mental Health,Depression,Mental Health,,,,Reproductive Health and Childbirth,Reproductive Health and Childbirth,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.546737213
308,pub.1101167143,10.1037/ort0000318,29469584,,Paid sick leave status in relation to government sponsored welfare utilization.,American Journal of Orthopsychiatry,,American Psychological Association (APA),,2018,88,5,608-615,Closed,article,"Stoddard-Dare, Patricia; DeRigne, LeaAnne; Quinn, Linda; Mallett, Christopher","Stoddard-Dare, Patricia (Cleveland State University); DeRigne, LeaAnne (); Quinn, Linda (Cleveland State University); Mallett, Christopher (Cleveland State University)",Cleveland State University,grid.254298.0,Cleveland,Ohio,United States,,,,,,1,1,0,0,,https://app.dimensions.ai/details/publication/pub.1101167143,1117 Public Health and Health Services; 1605 Policy and Administration,1117 Public Health and Health Services,1605 Policy and Administration,,,,Clinical Research; Health Services,Clinical Research,Health Services,,,,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.543209877
304,pub.1014154865,10.1016/j.acap.2015.02.010,25824894,,Spotlight on Express Lane Eligibility (ELE): A Tool to Improve Enrollment and Renewal,Academic Pediatrics,,Elsevier,Children's Health Insurance Program; Costs and Cost Analysis; Eligibility Determination; Humans; Medicaid; United States,2015,15,3,s28-s35,Closed,article,"Hoag, Sheila D.","Hoag, Sheila D. (Mathematica Policy Research)",Mathematica Policy Research,grid.419482.2,Princeton,New Jersey,United States,United States Department of Health and Human Services,,United States,,,2,0,0.44,0.48,,https://app.dimensions.ai/details/publication/pub.1014154865,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Pediatric; Clinical Research,Pediatric,Clinical Research,,,,,,,,,,,,,,,,Health services & systems,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.536155203
304,pub.1021031650,10.1017/s1368980010002090,20701819,,Is participation in food and income assistance programmes associated with obesity in California adults? Results from a state-wide survey,Public Health Nutrition,,Cambridge University Press (CUP),Adolescent; Adult; Aged; Body Mass Index; California; Cross-Sectional Studies; Ethnic Groups; Family Characteristics; Female; Food Supply; Humans; Male; Middle Aged; Obesity; Poverty; Prevalence; Public Assistance; Young Adult,2011,14,4,645-652,All OA; Bronze,article,"Leung, Cindy W; Villamor, Eduardo","Leung, Cindy W (Harvard University); Villamor, Eduardo (Harvard University)",Harvard University,grid.38142.3c,Cambridge,Massachusetts,United States,,,,,,32,11,1.77,6.03,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/148A92CEF83F3BB7EBE509A658FC94AC/S1368980010002090a.pdf/div-class-title-is-participation-in-food-and-income-assistance-programmes-associated-with-obesity-in-california-adults-results-from-a-state-wide-survey-div.pdf,https://app.dimensions.ai/details/publication/pub.1021031650,1117 Public Health and Health Services; 1402 Applied Economics,1117 Public Health and Health Services,1402 Applied Economics,,,,Clinical Research; Obesity; Nutrition,Clinical Research,Obesity,Nutrition,,,Cardiovascular; Metabolic and Endocrine; Stroke; Oral and Gastrointestinal,Cardiovascular,Metabolic and Endocrine,Stroke,Oral and Gastrointestinal,,"2.3 Psychological, social and economic factors; 3.1 Primary prevention interventions to modify behaviours or promote well-being","2.3 Psychological, social and economic factors",3.1 Primary prevention interventions to modify behaviours or promote well-being,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.536155203
302,pub.1109917181,10.1146/annurev-publhealth-040218-044132,30444684,,Aligning Programs and Policies to Support Food Security and Public Health Goals in the United States,Annual Review of Public Health,,Annual Reviews,,2019,40,1,319-337,Closed,article,"Seligman, Hilary K; Berkowitz, Seth A","Seligman, Hilary K (University of California, San Francisco; San Francisco General Hospital); Berkowitz, Seth A (University of North Carolina System; University of North Carolina at Chapel Hill)","University of North Carolina System; University of California, San Francisco; San Francisco General Hospital; University of North Carolina at Chapel Hill",grid.410711.2; grid.266102.1; grid.416732.5; grid.10698.36,Chapel Hill; San Francisco; San Francisco; Chapel Hill,North Carolina; California; California; North Carolina,United States; United States; United States; United States,,,,,,2,2,0,0,,https://app.dimensions.ai/details/publication/pub.1109917181,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Health Services; Basic Behavioral and Social Science; Clinical Research; Nutrition; Behavioral and Social Science,Health Services,Basic Behavioral and Social Science,Clinical Research,Nutrition,Behavioral and Social Science,,,,,,,,,,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.532627866
296,pub.1018920863,10.1016/j.acap.2014.10.002,25454368,,Influence of Maternal Depression on Household Food Insecurity for Low-Income Families,Academic Pediatrics,,Elsevier,"Adult; Child, Preschool; Cohort Studies; Depression; Family Characteristics; Female; Food Supply; Humans; Infant; Logistic Models; Longitudinal Studies; Male; Mothers; Multivariate Analysis; Odds Ratio; Poverty; Risk Factors; United States; Young Adult",2015,15,3,305-310,Closed,article,"Garg, Arvin; Toy, Sarah; Tripodis, Yorghos; Cook, John; Cordella, Nick","Garg, Arvin (Boston Medical Center); Toy, Sarah (Boston Medical Center); Tripodis, Yorghos (Boston University); Cook, John (Boston Medical Center); Cordella, Nick (Boston Medical Center)",Boston Medical Center; Boston University,grid.239424.a; grid.189504.1,Boston; Boston,Massachusetts; Massachusetts,United States; United States,,,,,,29,20,3.9,6.73,,https://app.dimensions.ai/details/publication/pub.1018920863,1117 Public Health and Health Services,1117 Public Health and Health Services,,,,,Mental Health; Brain Disorders; Clinical Research; Behavioral and Social Science; Depression; Nutrition; Pediatric,Mental Health,Brain Disorders,Clinical Research,Behavioral and Social Science,Depression,Mental Health; Reproductive Health and Childbirth,Mental Health,Reproductive Health and Childbirth,,,,"2.3 Psychological, social and economic factors","2.3 Psychological, social and economic factors",,,,,Population & Society,Public Health,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.522045855
291,pub.1100687352,10.1007/s13524-017-0642-7,29380273,PMC5991492,The Changing Safety Net for Low-Income Parents and Their Children: Structural or Cyclical Changes in Income Support Policy?,Demography,,Springer Nature,,2018,55,1,189-221,Closed,article,"Hardy, Bradley; Smeeding, Timothy; Ziliak, James P.","Hardy, Bradley (American University); Smeeding, Timothy (University of Wisconsin–Madison); Ziliak, James P. (University of Kentucky)",University of Wisconsin–Madison; American University; University of Kentucky,grid.14003.36; grid.63124.32; grid.266539.d,Madison; Washington D.C.; Lexington,Wisconsin; District of Columbia; Kentucky,United States; United States; United States,National Institute of Child Health and Human Development,NIH,United States,grant.3807033,P2CHD047873,3,3,0,0,,https://app.dimensions.ai/details/publication/pub.1100687352,1402 Applied Economics,1402 Applied Economics,,,,,,,,,,,,,,,,,,,,,,,Population & Society,,,,,,,,,,,,,,welfare,"'(""Temporary Assistance for Needy Families"" OR TANF) AND (((""Supplemental Nutrition Assistance Program"" OR SNAP) AND data)~3)'",0.513227513
